amount,frequency_last_24h,wallet_age_days,is_fraud
234.63404498842954,5,201,0
1505.0607154587606,5,322,0
658.3728467727246,4,189,0
456.4712768879766,9,258,0
84.81243523117314,2,155,0
84.7981459573026,5,319,0
29.919384304340337,10,228,0
1005.6154322399698,5,5,1
459.5410768136323,4,129,0
615.6250308522951,7,74,0
10.399653999569312,3,24,0
1751.778737579156,6,315,0
893.2147716773376,3,279,0
119.3438126244735,3,206,0
100.33949437483169,4,146,0
101.30571141612853,1,89,0
181.37686473023857,2,22,0
371.9639154304272,4,300,0
282.76853339016833,5,44,0
172.11149627697074,8,37,0
473.1854369498993,7,7,0
75.11726436366934,7,280,1
172.75775600120113,2,169,0
228.13860911042352,6,70,0
304.4673439298875,8,213,0
768.968005515456,6,71,0
111.36793106434514,4,207,0
361.01457751656386,4,72,0
448.7523606548803,4,316,0
23.781924878204272,1,180,0
467.6665103248051,6,208,0
93.48062598870821,8,177,0
33.63196543965212,7,195,0
1486.8438967534653,7,301,0
1685.3151712305862,6,239,0
826.1657864064383,6,154,0
181.64392998437916,4,154,0
51.38865750125312,3,30,0
576.3753815493309,6,27,0
290.0454212926992,3,240,0
65.07611697722432,10,243,1
341.7736140670751,5,132,0
17.49686072173954,6,179,0
1200.2114436965119,6,339,0
149.72888842034305,4,98,0
543.1278992824901,6,326,0
186.77329082881184,5,237,0
367.0554479546143,3,335,0
395.6118989908988,2,138,0
102.19429975395288,3,118,0
1746.4035663681132,2,106,0
746.1226885690704,8,36,0
1402.547209645791,7,46,0
1126.0759987670983,4,104,0
455.5272061916375,3,364,0
1274.7176896347025,3,360,0
46.32772947655781,6,70,0
109.06734731563373,5,207,0
23.140982843415976,1,221,0
196.7660434015434,8,89,0
246.0651458971093,9,3,0
158.28022160441284,4,298,0
882.278932620467,7,231,0
220.61349976493509,3,118,0
164.9014200671246,7,311,0
391.203541603873,5,114,0
75.94907391031443,6,202,0
810.2417978873656,8,30,0
38.73793440565451,2,364,0
2167.07316979366,4,247,0
739.7418881207557,9,81,1
110.76972025294297,4,246,1
2.7687101879677374,4,184,0
844.948388743063,3,273,0
613.5479536935223,4,33,0
652.8314543939995,4,102,0
737.6072630217567,6,277,0
38.464632756898176,7,111,0
221.94633620811624,3,206,0
61.575052302224826,6,266,0
994.2647858291114,8,215,0
488.150595856187,7,103,0
200.9094006256505,3,295,0
32.83403290239144,4,78,0
186.24417520517687,6,175,0
196.65710659206567,8,342,0
653.9378919788704,3,52,0
507.44467946300995,4,297,0
1091.1259562007574,3,175,0
319.5330666881549,8,343,0
63.68619680775095,1,199,0
624.5631721582997,3,88,0
715.196376538432,7,171,0
411.9437474429144,5,37,0
736.9449833606823,9,123,0
340.407365755139,5,201,0
369.83941938863353,4,64,0
278.90709695421367,5,188,0
12.873886995056864,7,215,0
57.08371759593292,3,243,0
15.966840646526911,6,150,0
505.8647754637747,7,124,0
188.69835439754993,4,198,0
355.218588567095,4,36,0
1190.6327649229877,4,302,0
143.36941149164917,3,278,0
264.1409874413363,4,35,0
704.3745737692917,2,113,0
129.902578458697,7,175,0
40.05213927508818,6,33,0
171.07015194352854,7,213,0
87.90417925003142,5,203,0
1327.4750429403123,4,254,0
825.4435402422847,5,56,0
501.7470952602655,4,323,0
1025.7598652604065,7,13,0
813.9844703702782,5,50,0
103.24773817931954,6,248,0
1115.4067026177804,5,233,0
387.549950983086,2,28,0
823.6741456517831,4,104,0
1132.1213246431157,4,354,0
191.36535820915924,6,96,0
58.296080061925416,11,343,0
129.34337306969067,6,344,0
278.5288463743072,8,193,0
851.9148633194725,5,125,0
985.6724859399167,3,81,0
3.4882045908253234,5,7,0
357.4380796692779,1,330,0
270.13666045933564,8,83,0
125.58366913791225,6,24,0
63.84019577282341,4,114,0
205.95428993121624,7,15,0
1431.5605613455748,1,113,0
195.1919014407372,7,342,0
365.72640288007597,3,250,0
607.0434884404274,9,145,0
225.98724948348118,4,19,0
1783.8990691458498,2,9,0
1641.004932270699,4,320,0
145.03064749610263,6,185,0
343.82963923192364,2,38,0
178.9652300395234,1,211,0
167.62483819054086,7,134,0
18.792238882761268,7,102,0
470.24603549129654,6,149,0
349.2598164148192,8,93,0
26.42554369019624,7,290,0
163.3129605051847,5,140,0
1194.4304755446701,6,295,0
136.93027607103852,6,352,0
78.26543049273488,7,262,0
336.1360547368181,6,81,0
2122.01849130763,3,32,0
138.5724067798631,3,188,0
557.5775051486467,1,136,0
716.9438131197314,5,166,0
135.6665861679029,3,147,0
651.374464246158,9,245,0
229.261399632152,8,183,0
500.25187386588567,4,9,0
501.9189135688191,2,156,0
383.6926249761744,3,318,0
47.31457940581048,2,176,0
901.8223971231484,4,114,0
193.4051468336983,4,243,0
103.21605330377827,5,167,1
20.814879897172602,8,223,0
446.8892022972917,6,191,0
565.9258671336744,3,275,0
8.36347377923531,5,289,0
358.8152922747442,6,64,0
128.41207352747884,3,282,0
518.062170773846,8,173,0
95.80211126956688,8,257,0
587.1062637838595,5,203,0
244.4793504905509,4,77,0
1380.1719089021535,2,103,0
73.97220671963947,6,226,0
208.56621699758588,5,226,0
60.22214251849821,6,227,0
1293.0951985753618,7,96,0
1049.166853580497,3,76,0
149.16368503074446,9,33,0
539.3813695219573,2,82,0
849.7420363196106,0,69,0
405.066180343254,6,339,0
377.13970509697305,4,219,0
138.43852271895156,6,362,0
48.86307023747037,4,358,0
1137.5616125972615,5,302,1
